Id,TestID,Data_LoadImage,Data_LoadTool,Data_LoadTool,Data1_LoadPanel,Data_Input1,Data_Input1,Data_Input1,Data_Input1,Data_LinkPort,Data_Input2,Data_Input2,Data_Input2,Data_Checkpoint,Data_Checkpoint,Data_Checkpoint,Data_Checkpoint,Data_Checkpoint,Data_Checkpoint,Data_Checkpoint,Data_Checkpoint,Data_LinkItem1,Data_Checkpoint,Data_TriggerOne,DataInput1Extend,DataInput1Extend,DataInput1Extend,DataInput1Extend,Data_Input2Extend,Data_Input2Extend,Data_Input2Extend,Data_Number,Data_Time,Data_CheckPoint,Data_CheckPoint,Data_CheckPoint
1,ListEdit_UseCase15_186,Sample Pattern Sort,List Edit,None,Setup,Image,Read,None,None,None,Image List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
2,ListEdit_UseCase15_187,Sample Pattern Sort,List Edit,None,Setup,Integer,Read,None,None,Run Count,Integer List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
3,ListEdit_UseCase15_188,Sample Pattern Sort,Line Find,List Edit,Setup,Line Segment,Read,None,None,Line Segment,Line Segment List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
4,ListEdit_UseCase15_189,Sample Pattern Sort,None,List Edit,Setup,Origin,Read,None,None,Output Origin Relative To RWC,Origin List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
5,ListEdit_UseCase15_190,Sample Bulb,None,List Edit,Setup,Point,Read,None,None,Output Best Origin Relative To RWC.point,Point List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
6,ListEdit_UseCase15_192,Sample Bulb,None,List Edit,Setup,Real,Read,None,None,Output Best Scale,Real List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
7,ListEdit_UseCase15_193,Sample OCR,None,List Edit,Setup,Rectangle,Read,None,None,All Characters Bounding Box,Rectangle List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
8,ListEdit_UseCase15_194,Sample OCR,None,List Edit,Setup,String,Read,None,None,Output String,String List,Insert,None,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
9,ListEdit_UseCase16_195,Sample OCR,None,List Edit,Setup,String,Read,None,None,Output String,String List,Insert,2,None,None,None,None,None,None,CheckPassFail,CheckMessage,,None,2,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
10,ListEdit_UseCase16_196,Sample Bulb,Blob,List Edit,Setup,Blob,Read,None,None,None,Blob List,Write,3,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,5,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
11,ListEdit_UseCase16_197,Sample OCR,None,List Edit,Setup,Boolean,Read,None,None,Successful Read,Boolean List,Write,2,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,5,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
12,ListEdit_UseCase16_199,Sample Pattern Sort,List Edit,None,Setup,Image,Read,None,None,None,Image List,Write,5,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
13,ListEdit_UseCase16_200,Sample Pattern Sort,List Edit,None,Setup,Integer,Read,None,None,Run Count,Integer List,Write,4,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
14,ListEdit_UseCase16_201,Sample Pattern Sort,Line Find,List Edit,Setup,Line Segment,Read,None,None,Line Segment,Line Segment List,Write,7,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
15,ListEdit_UseCase16_202,Sample Pattern Sort,None,List Edit,Setup,Origin,Read,None,None,Output Origin Relative To RWC,Origin List,Write,9,CheckInput1,CheckOutput1,None,CheckOutput2,CheckTextField1,CheckTextField2,None,None,,CheckOutput1Detail,10,,,,,,,,,,CheckInput1Pro,CheckOutput1Pro,CheckOutput2Pro
