Id,TestId,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,,,,,,,,,,Run Test
1,ListEdit_UseCase15_186,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage,Setup_VPMNewButton,Setup_LoadTool,Setup_LEPanel,Setup_LEInput1,Setup_LELinkImage,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
2,ListEdit_UseCase15_187,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage,Setup_VPMNewButton,Setup_LoadTool,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
3,ListEdit_UseCase15_188,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage,Setup_VPMNewButton,Setup_LoadTool,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
4,ListEdit_UseCase15_189,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage,Setup_VPMNewButton,Setup_LEOrigin,Setup_LoadTool,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
5,ListEdit_UseCase15_190,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage1,Setup_VPMNewButton,Setup_LoadPatternFind,Setup_PFTrainROIPanel,Setup_PFTrainButton,Setup_LoadTool,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
6,ListEdit_UseCase15_192,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage1,Setup_VPMNewButton,Setup_LoadPatternFind,Setup_PFTrainROIPanel,Setup_PFTrainButton,Setup_LoadTool,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
7,ListEdit_UseCase15_193,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage1,Setup_VPMNewButton,Setup_AdvOCR,Setup_LoadTool2,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
8,ListEdit_UseCase15_194,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage1,Setup_VPMNewButton,Setup_AdvOCR,Setup_LoadTool2,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
9,ListEdit_UseCase15_195,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage1,Setup_VPMNewButton,Setup_AdvOCR,Setup_LoadTool2,Setup_LEPanel,Setup_LEInput1,Setup_LELinkItem,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,Setup_LEErrorConfirmPro,Setup_closeVPM,,N
10,ListEdit_UseCase16_196,Setup_InnitializeVPM,Setup_loadVPM,Setup_LoadImage1,Setup_VPMNewButton,Setup_LoadTool,Setup_LEPanel,Setup_LEInput1,Setup_LELinkBlob,Setup_LEInput2,Setup_VPMtriggerOne,Setup_CheckPoint,,,,,,,,,,,,Setup_LEReset,Setup_VPMPropertiesTab,Setup_LEDeleteLinkPro,Setup_LERunPro,Setup_CheckPointPro,,Setup_closeVPM,,N
